name,dialog
Zoah," WELCOME, GHOST-BOY! ARE YOU MAN ENOUGH TO CHALLENGE ME?"
Zoah, HIIIYAAAAAAH!!!
Harle," Serge, mon ami! Your humain world iz about to end!"
Harle," At zat time, zere shall be enmity between you and ze world."
Harle, Zis iz not prophétie nor spéculation! 'Tiz histoire!
Kid, Oi! C'mon Serge
Kid," Just you wait, Lynx! Today's gonna be the day of reckonin'!!! Say yer prayers! ...Not that it'll do ya any good!!!"
Kid, Heh-heh-heh...... HA-HA-HA-HA-HAAA!
Kid, Some kinda switch? Bugger! So close and yet so far...
Kid, Oi! What the bloody hell just happened?
Kid, What are we doin' out here?
Kid, Wooooow! Bugger...!!! We're so high up! Is this thing floatin'!?
Kid," This sure is some fort... Eh, Serge?"
Kid," You alright, mate? You've been actin' all weird. Who knows what's up ahead, so just stay on yer toes, eh!?"
Poshul, AHHH! I-I-Ith that... a Heckran bone!?
Poshul, Serge!? A p-p-prethent!? F-F-For I!?
Poshul," How'd you know? Hmm... To acthept, or not to acthept?"
Poshul, AHEM! Me acthept your prethent and Me shall help you!
Poshul," Me will do anything you want. Me will be honored to be by your thide! Me will use my Pretty- Miracle-Power-X! Me will do it, Serge!!!"
Radius," Hmm? What do you have there? Oh? Is this what all the young 'uns are crazy about these days? Hoh-hoh-hoh! That is great! Back in my day, we used to collect Heckran fangs. I guess every generation has its favorites, and I guess we play alike, too."
Radius," Oh, Serge, how goes it? How would you like to join everyone for my lecture? Today's lecture is 'The Fundamentals of Attack and the Art of Elements.'"
Radius, How about it? Would you like to join my lecture? Today's lecture is 'The Fundamentals of Attack and the Art of Elements.' ~~~Sure ~~~Maybe next time
Radius," Excellent! A true man, you are. Well then, let's get on with it."
Radius," ......! You're way too advanced for my lecture! Keep up the good work, sonny."
Poshul, Then Me will watch from here. Good ruck!
Radius," Pooped already, eh? And you're still so young... Oh well, don't let it get you down. Come again anytime, sonny."
Radius," Well now, did you find it helpful? Come again, sonny. I promise to take it easy on you!"
Radius," You've learned well, sonny. You'll do just fine."
Radius," Oh? It does not interest you? Oh well... Come again, sonny. I promise to take it easy on you!"
Radius, Hoh-hoh-hoh...
Radius," First, here's some basic advice on attacking, so listen up young'un...! You know that the three different attack levels -- Weak, Strong, and Fierce -- each have differing accuracy, or \'\HIT%\'\ values, don't you? Every time you hit your opponent, each of these values increase to make it easier for your next attack to hit its mark! A good strategy is to start with Weak(1) blows, which have the highest chance of succeeding, and then build up to Strong(2) and Fierce(3) blows. So, rather than attacking willy-nilly, you should aim to build up your HIT%. If your Fierce(3) attacks don't hit home, you're just wasting your energy! Weak! Strong!! Fierce!!!"
Radius," Hoh-hoh-hoh! You're not even close! Don't be trusting in your HIT% too much there, boy! As long as it's not 100%, you still run the risk of missing continuously, don't you!? Sometimes it pays to muster up the courage to use Strong(2) and Fierce(3) attacks straight from the start, too! Fierce! Fierce!!"
Radius," Next, let's check out the use of Elements! When you use an Element, the color of that Element's attribute remains on the battlefield in the form of the \'\Field Effect!\'\ Each time you consecutively use the same-colored Elements, the effectiveness of that colored Element group increases! Here, I'll show you... Let's fill up all the Field Effect attributes with the color blue! Try using a blue Element after me..."
Radius, See! The field is completely blue now. Any blue Elements you use now will sure pack a punch! Here! Try this out...
Radius," Hey there! Hurry up and turn all the Field Effect attributes blue, for crying out loud! Don't you know how to use them Elements or something, young'un? If that's the case, then listen up, boy! It takes some explaining!"
Radius," First, you've got to choose \'\Attack\'\ to do some physical damage to your opponent in order to get started! Weak(1), Strong(2), and Fierce(3) attacks each add 1, 2, or 3 points to your Element Power Level. Your current level is the number that appears above the \'\Lv\'\ symbol under your name there, son! Oh, I nearly forgot to tell you! You won't accumulate any power unless you actually succeed in hitting your opponent... So be careful! You can't afford to miss!"
Radius," Discharging this accumulated power is what using Elements is all about! Once you've built up some power, you will be able to choose the \'\Element\'\ option from the battle menu. When you select the Element option, gray-colored rectangular plates appear on the screen, don't they? Those plates are the Elements you currently have allocated."
Radius," So...why don't you try using one of those blue Elements you have there, boy? Relax! They won't disappear when you use them... You just won't be able to use them again for the rest of this battle, that's all! Once you enter another battle, you'll be able to use them again. So don't hold back now... But even though I say this, I still have to stress that you've got to consider the appropriate time to use your Elements. Otherwise, you'll never be able to beat some of the harder enemies you're bound to meet! You've got to form the proper strategy, boy!"
Radius," Oh, but wait! I'm forgetting something important... (It must be my old age!) There are some Elements that disappear in a puff of smoke each time you use them! The Element \'\Tablet\'\ is just one example! These are called \'\Consumable Elements,\'\ and they have the symbol \'\\Object\\'\ in front of their names. These don't regenerate after each battle. However, the benefit of such Consumable Elements is that you can allocate up to five of these into the same Element Grid space. Doing so allows you to use several of them in the same battle, unlike Basic Elements, which normally can only be used once in any one battle. That is why Consumable Elements also have a number such as \'\x5\'\ after their names. That's the number you currently hold in that Grid position. This number will decrease as the Elements are used up for good. However, after each battle, you can restock more for use next time."
Radius," Anyway, enough about that. More about actually using Elements... I'm sure you'll notice that each time you use an Element, your Element Power Level (as shown by the \'\Lv\'\ number) will go down. It's just simple subtraction, really! For instance, say you're currently at \'\Lv 3\'\ and you decide to use a \Tablet\'\ Element allocated at \Lv 1\ in your Element Grid! In this case 3 minus 1 leaves 2. So your current Element Power Level will now be changed to \'\Lv 2\'\! You can use Elements anytime, so long as your Stamina value is above 1.0. So in this case, you'll still be able to use Elements with a Power Level of up to Lv 2 right after using the Tablet Element!"
Radius," Did you get the gist of it, sonny? Now do you see the importance of developing good battle tactics? You could build up a little power, then use an Element, build up a little more power, then use another Element... repeating this over and over. That's OK! Or you can build up your Element Power to its maximum level and unleash a barrage of Elements, one after another. That's no problem either! Use whatever strategy you think will work to defeat each of the enemies you come across. It's up to you. There are hordes of monsters out there that you'll never be able to defeat by physical attacks alone! You're going to need to master Elements to get by, boy. Well, sorry for the long lecture there, sonny. My explanation about Elements is officially over... Why don't you try and use one now?"
Radius," What's this? You still haven't managed to fill all the Field Effect attributes blue yet? What, you expect an old man to do everything for you? You slacker! Anyway, here we go..."
Radius," Hoh-hoh-hoh! Was that too much for you? Sorry about that, young'un! Conversely, when there is a lot of blue in the Field Effect attributes, the Elements of the opposite color, red, will be weakened! So try to discern your enemy's attack pattern and fill the Field with the opposite color of his attacks as a form of defense. This strategy of using Elements is sure to come in handy, so put it to good use, sonny!"
Radius," Hoh-hoh-hoh... How was that? You learn something there, boy? Anyway, I guess it's time to bring this lesson to an end. Here you go... Hah!"
Kid, Yippieee!!!
Leena," You're late, Serge. Sleeping in as usual, I suppose? You promised you'd go get some Komodo dragon scales for my necklace, remember? Since you were late, my mom asked me to baby-sit the kids!"
Kid," Whoo-hoo! Sergey, Leena, look at me! C'mon, you guys should join us! It feels really good!"
Leena," Unlike the rest of you, we're not here to play! Don't swim out too far, now!"
Kid, Ooookay! Gotcha!
Leena," Kids sure have it easy... Remember when we were like that? Not a single care or worry on our minds... How each day lasted an eternity, filled with newness, fun and excitement..."
Leena, But the important thing now is not our childhood but my Komodo-scale necklace!!! YES! We have to face up to reality and live each day anew!!!
Leena," So, I want you to go to Lizard Rock and get some scales for me! I would join you, but I still have to watch the kids... It's your fault you were late! Once you collect some Komodo dragon scales, I'll catch up with you at Opassa Beach."
Leena," Is that OK with you, Serge? ~~~Sure, no problem! ~~~Nah, forget it..."
Leena," Good! That's what I wanted to hear! OK, then! Don't just stand around! Go collect some scales at Lizard Rock. Let's see... I think 3 should be enough. Good luck, Serge! I'm counting on you!"
Leena," EXCUSE ME!? What did you just say? Hm? Serge!? Think about it! It's your fault for sleeping in, you know! Seeing as how you let me down, I'd say you owe me a couple hundred of those scales! Now go! Go to Lizard Rock and get some scales for me! I'll let you off easy this time with only 3 scales. I'm counting on you, Serge. Good luck, OK?"
Leena," Once you get the scales, wait for me at Opassa Beach. It's just a bit south of Lizard Rock. I'll come by as soon as I'm done baby-sitting!"
Leena," Come on, Serge! Get your butt over to Lizard Rock, already. I think I really deserve about a hundred scales, but I guess 3 will do for now. Once you get all 3 scales, wait for me at Opassa Beach. You know, it's south of Lizard Rock. And...I'll only accept scales that YOU personally collect. I don't want any that were just handed to you."
Leena, ......?
Leena," H-Hey...! Is that a Komodo dragon scale!? Where'd you get it? Someone gave it to you? No, no, that won't do. I don't want it if someone just handed it to you. You need to go out and get them on your own, OK, Serge? No cheating now!"
Leena," Oh? What is it? Nah-uh, Serge. That doesn't interest me one bit! Oh... Don't tell me you forgot about the promise you made."
Leena, Oh? What is it? So...?
Leena," Oh? What is it? Nah-uh, Serge. That doesn't interest me one bit! You promised to get me some Komodo dragon scales, remember!?"
Leena," H-Hey......! Is that a Komodo dragon scale!? Where'd you get it? Ohh, someone gave it to you? Nah-uh, it's just not the same if YOU don't get it yourself."
Man," Along with the dwarves, you'll find other monsters in this forest. I can't just let you wander off by yourself."
Poshul," What are you talking about!? Can't you see that Me, Poshul, ith here!?"
Man," Huh? Oh yeah... I'm sorry, Poshul. I didn't even notice you. Anyway, Poshul won't be of much help, so I suggest you guys head on back to the village."
Poshul, ...... (PO-SHU-SHUUUUU!!!)
System, Serge collected Komodo Scale! He stored it safely away...
Poshul, PO-SHU-SHU! We now have 3 Komodo thcales. Ret'th get moving to Opatha Beach and wait for Leena.
System, x button to jump.
Leena, There you are!
Leena," Sorry I'm late. I hope you didn't wait too long, Serge. Poshul? I didn't expect to see you here. So this is where you went off to."
Poshul," Weee! Leena'th here! How are you doing!? Ohhh!!! Are you two on a date? Sowwy, Me think Me should reave you two arone!"
Leena," Oh, pulease! Don't be silly."
Poshul, PO-SHU-SHU...!
Leena," Sorry I'm late. I hope you didn't wait too long, Serge."
Leena, It sure has been a long time since we last came here... We used to come all the time.
Leena, Well? How'd it go? Did you get the Komodo dragon scales?
Leena," Oh, they're beautiful! I'll be able to make a great necklace with these."
Leena," Thank you, Serge!"
Leena," And you, too, Poshul!"
Poshul, AHEM! No probrem!
Leena," Thank you, Serge!"
Leena," The sea never changes, does it...? It's been rolling in and out, like this, since long before we were born. It's been here for eternity, it seems... It's probably seen many things... Heard many things... It'll probably keep rolling in and out, in and out, long after our lifetime... Without a single change..."
Leena," Hey, Serge... Remember we used to sit and talk like this when we were kids? With the gentle sea breeze and the tranquil sound of the waves? Just the two of us... Talking..."
Leena, Do you still remember that day? ~~~I don't remember ~~~I remember
Leena," Oh... Then I guess you forgot about the promise we made... Well, I guess it can't be helped. We were so young... On top of that, you almost drowned back then. It was a traumatic time for you."
Leena," Really!? You do...? So, Serge, you haven't forgotten about the promise we made that day!?"
Leena, Hehee...... That makes me... happy.
Leena," But aren't memories strange? Just when you think that you've forgotten about something, it comes floating back into your heart. I guess it's just lying there in wait. Waiting for that right moment..."
Leena," Why, we might even remember this very moment someday! In 10, 20 years...when we're all grown up and married, and have kids of our own... Then one day... When that time comes, I wonder what kind of adults we'll be? What kind of life will I be leading...?"
Leena, I wonder what to make of this day...? ~~~We'll forget it eventually ~~~We'll never forget this day!
Leena, Yeah...... I guess so...... But...... That would be really sad... wouldn't it?
Leena, Yeah... I hope you're right.
Leena," Um, Serge... There's been something I've been wanting to..."
Leena," What? What's wrong, Serge?"
Leena, Serge?
Old Man," What are you doing there, boy? It's dangerous to sleep out here. You alright, boy? What on earth are you doing lying down, anyway? For a second there, I thought you might have been a dead body, washed ashore. Huh? Where's Leena...? You were the only one I saw when I got here. Are you a friend of Leena's? I believe she's in the village, babysitting. Well, I'd best be on my way. Anyway, if you're looking for Leena, you should stop by the village. You know, you shouldn't be playing out here, boy. Wouldn't want anything to happen to you, now."
Poshul," Serge! You're finally up! Thomething went 'whoosh,' and Me wath out cold, too."
Poshul," Me woke up firtht, tho Me went to go rook around. But no thign of Leena anywhere. Do you think Leena thpontaneouthry combuthted? Me wonder if she'th OK?"
Poshul, PO-SHU?
Poshul," The room rookth different... SHU, Serge.? Momma Serge., did you redecorate? It rookth a rittle deprething..."
Poshul," PO-SHU? Rookth rike thith room'th redecorated, too. It kind of rookth rike a junk room... And it'th tho duthty in here..."
Poshul," ......??? Who are you, mithter? Thith ith Serge's houthe, ithn't it? Where ith Momma Serge?"
Poshul," For 5 yearth...? Ith that true, mithter?"
Poshul," PO-SHU!? Thith ith rearry, rearry weird!"
Poshul, Leena! Tho thith ith where you were! How could you jutht reave uth and go back on your own!?
Leena," ...... Go back? On my own? What are you talking about, Poshul?030 And..."
Leena, Who are you? Have we met somewhere before...? Are you from Termina?
Poshul," PO-SHU? What are you thaying, Leena?"
Leena," Don't be silly! Don't go swimming out too far now, you hear!?"
Leena, Kids... I guess kids will be kids...
Leena, Don't worry about them.
Leena, Hmmm... You know... You look a lot like the boy who used to live next door to me... ~~~What was his name...? ~~~What happened to him?
Leena, Why...? Why do you want to know his name?
Leena, What happened to him...? Why do you want to know? It's really none of your business.
Leena, That boy... died...... He drowned... when he was very young... This all happened 10 years ago.
Leena," Soon after, his mother passed away, too... I was still very young back then, so I don't remember too well, but my mom says his name was..."
Leena, ...Serge... ~~~I'm Serge!!! ~~~That's nonsense!!!
Leena," ......!? You're Serge!? Oh, stop that! That's not even funny!!! The boy is dead, don't you understand!?"
